Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
16,16,4,Mobile Phone,1,Single,3,0,9,161.73,0
3,16,4,Laptop & Accessory,3,Married,2,0,4,165.78,0
11,8,3,Mobile Phone,1,Single,6,1,2,139.44,0
11,,3,Mobile,5,Single,4,0,0,126.19,0
13,11,4,Fashion,5,Divorced,6,1,12,204.75,0
17,22,5,Grocery,3,Married,3,0,12,301.03,0
11,12,5,Laptop & Accessory,1,Married,8,1,9,153.29,0
7,15,4,Laptop & Accessory,3,Single,4,1,1,188.88,0
6,12,5,Laptop & Accessory,4,Married,5,0,6,183.78,0
11,10,3,Mobile,3,Married,8,0,0,133.06,0
15,32,3,Fashion,5,Married,4,1,0,231.91,0
13,35,5,Laptop & Accessory,5,Single,5,0,4,167.84,1
6,12,4,Mobile Phone,4,Single,4,0,8,152.18,0
7,8,3,Laptop & Accessory,1,Single,2,0,4,162.74,0
0,13,5,Laptop & Accessory,3,Single,2,1,6,160.74,1
16,9,5,Laptop & Accessory,2,Single,5,0,1,192.81,0
5,17,4,Laptop & Accessory,1,Married,4,1,5,190.83,0
19,8,3,Fashion,1,Married,5,1,3,203.68,0
,22,3,Mobile,3,Single,2,0,4,121.44,0
0,13,4,Laptop & Accessory,5,Single,9,0,7,168.11,0
20,31,4,Mobile Phone,1,Single,3,0,1,150.87,1
8,7,4,Laptop & Accessory,4,Married,3,0,4,168.25,0
12,8,4,Laptop & Accessory,1,Married,9,0,4,152.04,0
1,8,4,Mobile Phone,3,Married,3,0,2,137.23,0
4,13,3,Fashion,5,Married,3,0,2,196.37,0
9,7,5,Mobile Phone,5,Single,3,0,3,149.5,0
12,16,5,Mobile Phone,4,Divorced,2,0,3,153.99,0
25,7,4,Mobile Phone,2,Divorced,3,0,1,152.23,0
6,14,4,Laptop & Accessory,1,Married,6,0,,217.04,0
21,9,4,Grocery,1,Married,3,1,1,292.52,0
7,8,1,Mobile,1,Married,1,1,2,129.32,0
,31,5,Mobile,3,Single,2,0,1,122.93,1
7,12,3,Laptop & Accessory,3,Single,2,0,10,148.09,0
3,16,3,Fashion,3,Single,10,0,2,196.67,0
0,9,3,Mobile,5,Single,1,0,4,131.02,1
1,13,2,Mobile Phone,5,Married,3,1,1,141.01,1
13,8,3,Laptop & Accessory,4,Married,4,0,10,156.77,0
0,8,3,Mobile,4,Married,10,0,2,134.68,0
,30,3,Mobile,4,Single,2,0,4,121.77,0
17,11,4,Mobile,3,Single,4,0,3,131.62,0
8,,4,Mobile,5,Single,2,0,2,124.5,0
0,,5,Mobile,3,Married,1,0,0,123.51,1
14,15,4,Laptop & Accessory,1,Married,5,1,3,165.69,0
1,7,5,Fashion,3,Married,7,0,,231.09,1
9,9,6,Others,4,Single,4,1,12,313.24,1
0,15,4,Mobile,5,Single,8,0,3,134.07,1
20,33,5,Laptop & Accessory,4,Single,10,0,3,204.91,0
17,16,3,Laptop & Accessory,1,Married,3,1,3,164.65,0
17,35,2,Mobile Phone,3,Single,6,0,3,172.39,0
1,17,4,Fashion,3,Married,8,0,,225.48,1
16,12,4,Fashion,4,Single,11,1,,209.46,1
0,10,5,Fashion,2,Divorced,2,0,8,204,1
1,17,5,Mobile Phone,3,Single,3,0,3,151.25,1
0,6,3,Mobile Phone,4,Married,2,0,4,138.16,0
20,7,4,Others,2,Married,11,0,3,321.27,0
21,21,4,Laptop & Accessory,5,Single,4,0,8,174.6,0
29,15,4,Grocery,3,Married,4,1,3,272.56,0
23,7,4,Mobile Phone,5,Married,4,0,3,160.8,0
13,15,3,Fashion,3,Single,10,0,13,234.99,0
6,13,4,Mobile Phone,3,Single,5,0,5,155.38,0
4,14,4,Mobile Phone,5,Single,5,1,4,146.66,1
,6,3,Mobile,4,Single,2,0,1,120.96,0
5,9,5,Laptop & Accessory,5,Divorced,5,0,1,189.1,0
6,15,5,Laptop & Accessory,3,Single,9,0,3,153.46,1
3,10,4,Laptop & Accessory,4,Married,2,1,7,152.09,0
5,14,1,Laptop & Accessory,3,Divorced,6,0,3,151.75,0
1,6,5,Mobile Phone,3,Single,3,0,3,155.33,0
11,17,4,Mobile Phone,5,Married,2,1,4,152.82,0
10,25,3,Fashion,4,Single,2,1,9,176.42,0
27,9,5,Grocery,1,Married,4,0,8,279.27,0
11,,4,Mobile,4,Single,2,0,3,124.4,0
1,10,4,Mobile Phone,5,Single,2,0,5,156.02,1
27,13,4,Laptop & Accessory,1,Single,4,0,3,149.5,0
5,16,3,Laptop & Accessory,1,Single,2,0,8,153.96,0
17,6,4,Laptop & Accessory,3,Single,5,0,2,159.85,0
28,14,4,Grocery,4,Married,2,1,0,235.77,0
6,17,4,Laptop & Accessory,1,Single,3,0,9,178.96,0
1,7,5,Mobile Phone,4,Single,3,0,1,153.36,0
3,28,3,Fashion,5,Married,1,0,8,184.12,0
,23,5,Mobile,3,Married,2,0,2,123.05,0
16,12,4,Grocery,2,Married,5,1,0,266.27,0
14,9,5,Mobile Phone,3,Single,4,0,3,153.09,0
13,8,3,Mobile,5,Married,5,0,2,133.77,0
9,12,5,Mobile,3,Married,2,0,7,127.41,0
17,8,3,Fashion,3,Single,6,1,2,202.09,0
16,12,4,Grocery,1,Married,5,1,0,266.27,0
19,9,3,Grocery,3,Divorced,4,0,9,274.65,0
16,,3,Mobile,2,Single,1,0,7,124.55,0
6,31,3,Laptop & Accessory,3,Divorced,2,0,1,145.39,0
14,12,4,Laptop & Accessory,4,Single,7,1,2,160.32,0
8,13,4,Mobile,1,Married,2,0,1,126.9,0
9,16,3,Fashion,1,Single,2,0,7,199.8,0
18,13,3,Fashion,5,Married,3,0,0,197.24,0
0,8,3,Laptop & Accessory,1,Married,1,0,2,142.27,0
,7,3,Mobile Phone,3,Married,2,0,1,112.23,0
,10,3,Mobile,1,Married,2,0,0,119.51,0
3,13,5,Mobile Phone,4,Married,3,0,1,153.04,0
4,25,4,Mobile Phone,3,Single,3,0,5,151.32,0
11,7,5,Laptop & Accessory,3,Married,3,0,8,184.93,0
1,29,4,Mobile Phone,3,Divorced,6,1,2,146.32,1
16,30,3,Fashion,5,Single,7,1,2,204.48,1
7,16,1,Laptop & Accessory,1,Married,2,0,2,147.24,0
5,19,4,Mobile Phone,1,Married,10,1,3,164.29,0
1,25,4,Laptop & Accessory,3,Divorced,2,1,3,171.14,1
4,10,4,Mobile Phone,3,Married,3,0,1,145.83,0
15,12,3,Fashion,5,Married,10,0,7,233.48,0
,16,3,Mobile,4,Married,2,0,0,120.08,0
8,10,3,Laptop & Accessory,3,Single,2,1,1,142.49,0
0,,3,Mobile,5,Married,2,1,0,123.98,1
2,23,4,Fashion,5,Single,2,0,9,179.88,0
5,12,3,Laptop & Accessory,3,Single,2,0,7,150.1,0
0,26,3,Fashion,3,Married,4,0,0,198.24,1
1,19,5,Mobile Phone,5,Married,3,0,1,145.33,1
11,31,4,Fashion,4,Divorced,4,0,,220.61,0
2,9,3,Laptop & Accessory,3,Divorced,2,0,2,155.61,0
11,9,3,Laptop & Accessory,3,Single,4,1,2,143.17,0
11,7,4,Fashion,1,Married,4,1,3,261.03,0
15,8,3,Mobile,3,Married,1,1,0,126.96,0
4,34,4,Laptop & Accessory,2,Married,9,0,8,178.04,0
19,9,4,Laptop & Accessory,4,Married,2,0,8,173.05,0
0,,3,Mobile,3,Divorced,2,0,2,126.1,1
10,13,3,Fashion,3,Single,5,0,2,236.64,0
3,16,4,Mobile Phone,3,Married,11,0,3,154.74,0
7,30,4,Fashion,1,Single,3,1,13,259.58,0
21,12,4,Others,3,Married,6,0,2,308,0
19,8,3,Grocery,3,Married,7,0,1,278.61,0
4,9,5,Laptop & Accessory,1,Married,3,0,9,166.52,0
21,9,4,Laptop & Accessory,4,Married,9,0,1,174.78,0
1,36,6,Laptop & Accessory,5,Single,10,0,3,174.69,1
19,24,3,Laptop & Accessory,3,Married,3,0,8,148.1,0
51,7,2,Laptop & Accessory,3,Divorced,2,0,9,174,0
13,8,1,Laptop & Accessory,4,Divorced,2,0,7,142.44,0
8,31,4,Laptop & Accessory,2,Single,5,0,2,136.81,0
12,7,5,Laptop & Accessory,1,Single,6,0,,211.86,0
15,32,3,Grocery,4,Married,6,0,8,235.25,0
